Reference Designator,Quantity,Description/Value,Manufacturer Part Number (MPN)
C1 C10 C11 C12 C13 C14 C19 C2 C20 C3 C4 C5 C6 C7 C8 C9,16,1uF,FG18X7R1E105KRT00
C15 C16 C17 C18,4,10 uF,FG16X7R1E106KRT06
GND_M1 GND_M2 GND_M3 GND_M4 GND_M5 GND_M6 GND_M7 GND_M8 PWR_M1 PWR_M2 PWR_M3 PWR_M4 PWR_M5 PWR_M6 PWR_M7 PWR_M8,16,CONN_01X10,310-47-110-41-001000
J1,1,SCREW_TERM,NC6-P108-04
J2 J3 J5 J6,4,USB_A,USB-A1HSW6
J4,1,CONN_02X03,67996-406HLF
J7,1,RJ14,90512-003LF
J8,1,RJ14,A-2004-0-4-LP-N-R
JP1 JP2 JP3 JP4 JP5 JP6 JP7 JP8,8,DNP,
M1a1 M2a1 M3a1 M4a1 M5a1 M6a1 M7a1 M8a1,8,CONN_02X25,25-0513-10
M1b1 M2b1 M3b1 M4b1 M5b1 M6b1 M7b1 M8b1,8,CONN_02X25,25-0513-10
M9a1,1,CONN_02X09,310-47-109-41-001000
M9b1,1,CONN_02X09,310-47-109-41-001000
MH1 MH10 MH11 MH12 MH13 MH14 MH15 MH16 MH2 MH3 MH4 MH5 MH6 MH7 MH8 MH9,16,MountingHole,
P1 P10 P11 P12 P13 P14 P15 P16 P2 P3 P4 P5 P6 P7 P8 P9,16,CONN_02X08,"SBH11-PBPC-D08-ST-BK	"
P31,1,DNP,
P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61,24,Jumper_Receptacle,H3183-05
R1,1,20k,CF18JT20K0
R2 R3 R4 R5,4,10k,CF18JT10K0
RP1 RP10 RP11 RP12 RP13 RP14 RP15 RP16 RP2 RP3 RP4 RP5 RP6 RP7 RP8 RP9,16,9_R_01X10,310-47-110-41-001000
TP1 TP10 TP11 TP12 TP13 TP14 TP15 TP16 TP17 TP18 TP19 TP2 TP20 TP21 TP22 TP23 TP24 TP3 TP4 TP5 TP6 TP7 TP8 TP9,24,DNP,
U1 U2 U3 U4,4,CONN_02X12,"110-44-624-41-001000	"